d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,a1,a2,a3,a4,a5,a6,a7
0.7953057885220838,0.7040227229496037,0.30887788809598193,0.4080430124476453,0.5569245152760924,0.6065680181367572,0.6236751834473147,0.5380086633352947,0.5758935226599666,0.42583838709648214,0.47559582707151016,0.4425460512546233,0.43490528046020227,0.4165799116947301,0.3747212399169133,0.3659272778210543,0.8208027237618278,0.8877293923944918
0.314269208251283,0.28834389967197604,0.1701305480139781,0.2573987088854901,0.5795559424896792,0.46790150611308157,0.4790877286910149,0.3926536449241915,0.5453152702644593,0.302750186484086,0.3250253340739193,0.41511124106901587,0.28557095912225594,0.27527198336834513,0.22013726170448922,0.23200228892801,0.46469568630189473,0.5461476325961545
0.176783805090013,0.15865497610174994,0.3564574242108076,0.37656353944628185,0.8222907117098086,0.6812174641727946,0.6426935567071395,0.3589221222993584,0.5675924025033661,0.4299404898164094,0.46716114453725277,0.47347780680542684,0.18337586777699744,0.15165825889766438,0.19637411151512563,0.1840968551742752,0.33052702056195127,0.45162976726898396
0.9341092944932734,0.8199377450465699,0.5534777448957189,0.5285375482918644,0.7167713502531643,0.8731840313483428,0.8237779776210443,0.3541430698178809,0.5870964995685499,0.4632809728917531,0.491969156142563,0.6036596299402803,0.25350684260493894,0.2442636749951207,0.326720651816792,0.3222582452345051,0.8527056049869612,0.9291898265663381
0.2930302135055072,0.21322711387983584,0.30644785179946243,0.053895896405358634,0.4504557167487184,0.48337882462879556,0.10910185921916593,0.22936806362760898,0.2099322405051991,0.25239100273569814,0.22686777859519536,0.39770117608667777,0.36420176641098045,0.15465784056626342,0.3137161413472813,0.2039835463238009,0.4178866746604477,0.6406008387523849
0.6312495416326247,0.5236506267635697,0.10347440745555225,0.05502978346244314,0.5621624032571195,0.6085768093024617,0.3870366325226291,0.22524373268219922,0.4068159479394451,0.12820378699036716,0.14569126607156724,0.45668957283878076,0.20741277866634467,0.09391654326485466,0.12089980589368787,0.06720393880775011,0.759634494046737,0.9515526660572413
0.6340517419413494,0.6395651898527264,0.2524268512221255,0.3867990353631332,0.23460704168785895,0.20254895618475732,0.35107721430416916,0.6653492785770938,0.26873125301746903,0.4821909627762313,0.449763925118321,0.4894954834255292,0.7598001076517855,0.698233508140767,0.6833617051535792,0.6220918066544088,0.6671220984412951,0.5600042407636958
0.14681940348757005,0.12235456010857715,0.35175683010686454,0.16788032192065483,0.6311312195190975,0.5332502531444465,0.32811371160115144,0.18695098185745462,0.4425223544538346,0.29850353484454173,0.2506619052103751,0.5171417558447455,0.18525466884152397,0.11069948148359632,0.20198336030781627,0.19152143108066988,0.28417858425243603,0.4268637135798161
0.4308924461077315,0.3971764548522103,0.4872044251543084,0.45742740370753454,0.48260755350750184,0.49572519784498503,0.48729981551932955,0.4184807162065576,0.48861182117112634,0.48705615990089157,0.49169728602552176,0.303450827835849,0.38411096905823383,0.38107206924662285,0.39083786218215977,0.40399718717805655,0.5141991809967541,0.5639215927404866
0.2593519604214862,0.23465934401515876,0.3362058509097752,0.366770816069693,0.4647169539606404,0.37801119164600916,0.34871986620924744,0.18639474807653889,0.4179582777466839,0.29015828308283576,0.3120207687873715,0.41202877153765094,0.21799942399311956,0.23607251465361034,0.29466991633568496,0.29835963913362673,0.3497330972401853,0.43036882858889136
0.6423155160791769,0.6448303781284033,0.7520615611062658,0.7751191963235899,0.35658743346247723,0.5342476402278891,0.7411558006731589,0.6424902350007922,0.6406940893476625,0.7566200571009807,0.7642696258732857,0.35557539702912333,0.6188904082414877,0.6470046216166171,0.7209954389369693,0.7219175195707193,0.5015118867750816,0.40616849510199904
0.31357294951235226,0.27316780496246795,0.3176487917118336,0.25117114052435063,0.6004420980612633,0.5780827182016814,0.46587514837311517,0.1865837110012789,0.46257684099288987,0.2627660612314826,0.25338803659375886,0.5207521553607375,0.1713256184772205,0.14397051876095623,0.1996386246984374,0.20079265036476657,0.3821115020883403,0.49911872944196345
0.3960580658488888,0.36082618826060275,0.4514998833883799,0.5182242442631555,0.5994441098442467,0.6166313548193978,0.6575086623006081,0.5443658515253049,0.6414699275688314,0.516709393113731,0.5669547871975982,0.4829426383529398,0.42850892549646225,0.4276590835790971,0.4325524313244884,0.4328191296209747,0.34842664755404673,0.41407923027325566
0.40544405194526845,0.33652716584712805,0.3459005330963496,0.3782024728795732,0.5664712599185724,0.33912196232096825,0.3872554166062727,0.3161730489743746,0.36939796910824896,0.36116732845819843,0.39327944225698985,0.9098133967160815,0.28209355641401457,0.314255155526291,0.4291253196360689,0.44200113228309035,0.2888636525341495,0.36045898271286614
